Node,In-Degree Centrality,Out-Degree Centrality,Degree Centrality,Betweenness Centrality,Closeness Centrality,Eigenvector Centrality
Saudi Arabia,0.06923076923076923,0.06153846153846154,0.13076923076923078,7.4537865235539655e-06,0.17902097902097905,0.19640884354965368
Iran,0.09230769230769231,0.08461538461538462,0.17692307692307693,0.012307148062962016,0.1885433715220949,0.22115986329767526
Oman,0.06923076923076923,0.0,0.06923076923076923,0.0,0.18469230769230768,0.19640884354965368
United Arab Emirates,0.06923076923076923,0.06153846153846154,0.13076923076923078,7.4537865235539655e-06,0.17902097902097905,0.19640884354965368
Qatar,0.06923076923076923,0.06153846153846154,0.13076923076923078,7.4537865235539655e-06,0.17902097902097905,0.19640884354965368
Bahrain,0.06153846153846154,0.0,0.06153846153846154,0.0,0.18286367098248285,0.18804926082447995
Kuwait,0.06923076923076923,0.06153846153846154,0.13076923076923078,7.4537865235539655e-06,0.17902097902097905,0.19640884354965368
Iraq,0.06923076923076923,0.06923076923076923,0.13846153846153847,0.03268059459919925,0.17902097902097905,0.19640884354965368
United States of America,0.23846153846153847,0.48461538461538467,0.7230769230769232,0.19136774723984032,0.2645235361653272,0.3278747513121671
United Kingdom,0.08461538461538462,0.2230769230769231,0.3076923076923077,0.0375857658706496,0.18271213322759716,0.1368532256368756
Norway,0.06153846153846154,0.05384615384615385,0.11538461538461539,0.0020933566863799427,0.1737556561085973,0.11929778401962171
Arctic,0.13846153846153847,0.0,0.13846153846153847,0.0,0.2198647506339814,0.21026562331865178
Russian Federation,0.13076923076923078,0.3076923076923077,0.43846153846153846,0.07471348526581087,0.20608228980322005,0.21269026458702964
Sweden,0.038461538461538464,0.046153846153846156,0.08461538461538462,7.983833565228914e-05,0.14409005628517824,0.05958230412284328
France,0.06923076923076923,0.1,0.16923076923076924,0.0067443290989802635,0.17723076923076925,0.1283873581103532
Latin America and the Caribbean,0.09230769230769231,0.0,0.09230769230769231,0.0,0.2,0.12730559124452392
Europe,0.2230769230769231,0.0,0.2230769230769231,0.0,0.28061938061938063,0.28090444574492235
Colombia,0.007692307692307693,0.06153846153846154,0.06923076923076923,0.0,0.0,5.201760300498797e-19
Brazil,0.038461538461538464,0.05384615384615385,0.09230769230769231,0.009936260982772609,0.14893341952165481,0.058583014348802344
Germany,0.09230769230769231,0.2230769230769231,0.3153846153846154,0.02500742367021437,0.18461538461538463,0.1433019026814429
Venezuela,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,1.5502453745898e-26
Guatemala,0.007692307692307693,0.015384615384615385,0.023076923076923078,0.0,0.10993589743589745,0.006605091046737534
Italy,0.05384615384615385,0.05384615384615385,0.1076923076923077,0.0027469451306660598,0.15278514588859418,0.09939726712866473
Belgium,0.007692307692307693,0.13846153846153847,0.14615384615384616,0.01016885999444139,0.1239376008606778,0.01542985579937239
Morocco,0.015384615384615385,0.023076923076923078,0.038461538461538464,5.9630292188431724e-05,0.11659919028340081,0.009421876330056042
Egypt,0.038461538461538464,0.007692307692307693,0.046153846153846156,0.0,0.1663894663894664,0.07049368296087644
South Africa,0.05384615384615385,0.08461538461538462,0.13846153846153847,0.02382290943337455,0.1720687079910381,0.08333093151254072
Botswana,0.023076923076923078,0.023076923076923078,0.046153846153846156,0.0,0.15684138869979578,0.047729668482899584
Thailand,0.023076923076923078,0.023076923076923078,0.046153846153846156,0.0,0.15684138869979578,0.047729668482899584
China,0.13076923076923078,0.08461538461538462,0.2153846153846154,0.014312663004523472,0.20139860139860138,0.20850761967922582
Spain,0.046153846153846156,0.046153846153846156,0.09230769230769231,0.010054445984678544,0.1501955671447197,0.07589271995122467
Japan,0.038461538461538464,0.2153846153846154,0.25384615384615383,0.03495840937701403,0.16563623292595256,0.0741443620030205
India,0.05384615384615385,0.17692307692307693,0.23076923076923078,0.03585729946195062,0.13529066353493835,0.03640178548819436
Switzerland,0.06153846153846154,0.13076923076923078,0.19230769230769232,0.012703429215057122,0.17547600913937547,0.14488860635577303
Denmark,0.05384615384615385,0.046153846153846156,0.1,0.0004279581314465035,0.17547600913937547,0.11095686257269939
Portugal,0.015384615384615385,0.038461538461538464,0.05384615384615385,0.0028622540250447226,0.12307692307692308,0.017390606975515616
Africa,0.1,0.0,0.1,0.0,0.20007692307692307,0.13704243682359826
Ethiopia,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,1.5502453745898e-26
Turkey,0.046153846153846156,0.06153846153846154,0.1076923076923077,0.006967920107454991,0.1641025641025641,0.0953422553731889
Pakistan,0.023076923076923078,0.0,0.023076923076923078,0.0,0.13481190342504212,0.02862072523995248
Canada,0.03076923076923077,0.09230769230769231,0.12307692307692308,0.010923985575148367,0.16563623292595256,0.09518810901329215
Malaysia,0.03076923076923077,0.03076923076923077,0.06153846153846154,0.0006931569722267398,0.1417846153846154,0.04062523584897332
Mongolia,0.015384615384615385,0.0,0.015384615384615385,0.0,0.13006500541711807,0.017145312634559616
South Korea,0.023076923076923078,0.023076923076923078,0.046153846153846156,0.0012359625731718754,0.11975051975051976,0.011355325666109523
Kazakhstan,0.023076923076923078,0.03076923076923077,0.05384615384615385,0.007368600391856205,0.1501955671447197,0.0551300963676061
Central Asia,0.015384615384615385,0.0,0.015384615384615385,0.0,0.16490384615384615,0.04318250123309587
Netherlands,0.023076923076923078,0.06153846153846154,0.08461538461538462,0.0028622540250447226,0.12936552498596296,0.03560067337117652
Cuba,0.007692307692307693,0.0,0.007692307692307693,0.0,0.09929693961952026,0.004013893717255282
Singapore,0.015384615384615385,0.023076923076923078,0.038461538461538464,0.0001311866428145498,0.16111888111888112,0.046362249005060197
Sri Lanka,0.023076923076923078,0.05384615384615385,0.07692307692307693,0.003999938476682662,0.1248104008667389,0.015215013057480688
Nepal,0.015384615384615385,0.007692307692307693,0.023076923076923078,0.0,0.1026068376068376,0.004625764948333322
Viet Nam,0.015384615384615385,0.0,0.015384615384615385,0.0,0.09983367983367984,0.0017913661581214918
Palestine,0.03076923076923077,0.007692307692307693,0.038461538461538464,0.0,0.16344452008168822,0.0692963980523492
Asia,0.03076923076923077,0.0,0.03076923076923077,0.0,0.15262515262515264,0.05461253852034316
Ireland,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,1.5502453745898e-26
Mauritius,0.015384615384615385,0.05384615384615385,0.06923076923076923,0.004459990913479286,0.11815384615384616,0.010589248109147366
Australia,0.03076923076923077,0.046153846153846156,0.07692307692307693,0.0175705431519385,0.10425339366515837,0.005971391749162231
Argentina,0.023076923076923078,0.015384615384615385,0.038461538461538464,0.0013549413549413547,0.15966735966735968,0.04166445532663225
Czechia,0.038461538461538464,0.06923076923076923,0.1076923076923077,0.0007181449041914158,0.16563623292595256,0.09745393656142783
Finland,0.007692307692307693,0.007692307692307693,0.015384615384615385,6.625588020936858e-06,0.09619391025641025,0.00173968034693562
Antarctica,0.05384615384615385,0.0,0.05384615384615385,0.0,0.18469230769230768,0.09381358133807532
Poland,0.038461538461538464,0.046153846153846156,0.08461538461538462,4.3397601537136425e-05,0.1641025641025641,0.0830366930538146
Slovakia,0.03076923076923077,0.0,0.03076923076923077,0.0,0.1694424841213832,0.08809177432000233
Austria,0.015384615384615385,0.023076923076923078,0.038461538461538464,0.0002491221095872259,0.13529066353493835,0.028677811185637402
Lithuania,0.015384615384615385,0.0,0.015384615384615385,0.0,0.1378300803673938,0.02571994764893739
Mexico,0.03076923076923077,0.015384615384615385,0.046153846153846156,0.001127305080793453,0.1641025641025641,0.0686920132904659
Ukraine,0.015384615384615385,0.0,0.015384615384615385,0.0,0.16490384615384615,0.06094717874499837
Cyprus,0.007692307692307693,0.0,0.007692307692307693,0.0,0.12737400530503978,0.01615692385454885
Israel,0.023076923076923078,0.0,0.023076923076923078,0.0,0.1679020979020979,0.07710410259954723
Jordan,0.023076923076923078,0.0,0.023076923076923078,0.0,0.16344452008168822,0.05782137918118109
Hungary,0.015384615384615385,0.05384615384615385,0.06923076923076923,0.0014760411853435111,0.15546558704453442,0.04166445532663225
Chile,0.015384615384615385,0.0,0.015384615384615385,0.0,0.085505698005698,0.0006732625418485856
Southern Asia,0.023076923076923078,0.0,0.023076923076923078,0.0,0.16490384615384615,0.0428108104501621
Eastern Europe,0.05384615384615385,0.0,0.05384615384615385,0.0,0.1742380261248186,0.11040042166769043
Southern Europe,0.015384615384615385,0.0,0.015384615384615385,0.0,0.11330816422840961,0.012946485106262616
Greenland,0.015384615384615385,0.007692307692307693,0.023076923076923078,0.0,0.16344452008168822,0.060475630657777696
Eastern Asia,0.015384615384615385,0.0,0.015384615384615385,0.0,0.16201079622132253,0.053123835297545455
South-eastern Asia,0.007692307692307693,0.0,0.007692307692307693,0.0,0.15921750663129974,0.03696691144299661
Sub-Saharan Africa,0.007692307692307693,0.0,0.007692307692307693,0.0,0.09569549621363094,0.001960751176143222
Western Europe,0.023076923076923078,0.0,0.023076923076923078,0.0,0.1465811965811966,0.04674228220328815
Afghanistan,0.015384615384615385,0.0,0.015384615384615385,0.0,0.12231278655119714,0.012463801385403633
Bangladesh,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1026068376068376,0.004104218660229872
Bhutan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1026068376068376,0.004104218660229872
Maldives,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1026068376068376,0.004104218660229872
Myanmar,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1026068376068376,0.004104218660229872
North Macedonia,0.023076923076923078,0.08461538461538462,0.1076923076923077,0.0029911690376806664,0.15966735966735968,0.0600761602032471
Albania,0.015384615384615385,0.0,0.015384615384615385,0.0,0.12564102564102564,0.023109248760250486
Bosnia and Herzogovina,0.023076923076923078,0.0,0.023076923076923078,0.0,0.16490384615384615,0.0600761602032471
Bulgaria,0.023076923076923078,0.0,0.023076923076923078,0.0,0.16490384615384615,0.0600761602032471
Croatia,0.015384615384615385,0.0,0.015384615384615385,0.0,0.12564102564102564,0.023109248760250486
Montenegro,0.023076923076923078,0.0,0.023076923076923078,0.0,0.16490384615384615,0.0600761602032471
Romania,0.015384615384615385,0.0,0.015384615384615385,0.0,0.12564102564102564,0.023109248760250486
Serbia,0.023076923076923078,0.0,0.023076923076923078,0.0,0.16490384615384615,0.0600761602032471
Slovenia,0.03076923076923077,0.0,0.03076923076923077,0.0,0.1663894663894664,0.06530337000962914
Greece,0.015384615384615385,0.0,0.015384615384615385,0.0,0.12564102564102564,0.023109248760250486
Americas,0.007692307692307693,0.0,0.007692307692307693,0.0,0.15921750663129974,0.03696691144299661
El Salvador,0.007692307692307693,0.0,0.007692307692307693,0.0,0.10993589743589745,0.006605091046737534
Honduras,0.007692307692307693,0.0,0.007692307692307693,0.0,0.10993589743589745,0.006605091046737534
Luxembourg,0.0,0.015384615384615385,0.015384615384615385,0.0,0.0,1.5502453745898e-26
Estonia,0.007692307692307693,0.0,0.007692307692307693,0.0,0.09619391025641025,0.00173968034693562
Latvia,0.007692307692307693,0.0,0.007692307692307693,0.0,0.09619391025641025,0.00173968034693562
Bolivia,0.015384615384615385,0.0,0.015384615384615385,0.0,0.1606020066889632,0.047699122496509316
Panama,0.015384615384615385,0.0,0.015384615384615385,0.0,0.1606020066889632,0.047699122496509316
Barbados,0.007692307692307693,0.0,0.007692307692307693,0.0,0.15921750663129974,0.03696691144299661
Belarus,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
Indonesia,0.007692307692307693,0.038461538461538464,0.046153846153846156,0.008715961041542436,0.08281811646297628,0.0006732625418485851
Philippines,0.007692307692307693,0.0,0.007692307692307693,0.0,0.07022521205030711,7.590932293426812e-05
Brunei,0.007692307692307693,0.0,0.007692307692307693,0.0,0.07022521205030711,7.590932293426812e-05
Taiwan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.07022521205030711,7.590932293426812e-05
Northern America,0.015384615384615385,0.0,0.015384615384615385,0.0,0.16490384615384615,0.06094717874499837
Armenia,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
Turkmenistan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
Azerbijan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
Moldova,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
Uzbekistan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
Tajikistan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
Kyrgyzstan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.1368091168091168,0.023980267302001767
New Zealand,0.0,0.023076923076923078,0.023076923076923078,0.0,0.0,1.5502453745898e-26
Iceland,0.0,0.03076923076923077,0.03076923076923077,0.0,0.0,1.5502453745898e-26
Lebanon,0.015384615384615385,0.0,0.015384615384615385,0.0,0.1606020066889632,0.04532649416817037
Libya,0.015384615384615385,0.0,0.015384615384615385,0.0,0.1606020066889632,0.04532649416817037
Syria,0.007692307692307693,0.0,0.007692307692307693,0.0,0.15921750663129974,0.03696691144299661
Malta,0.007692307692307693,0.0,0.007692307692307693,0.0,0.15921750663129974,0.03696691144299661
Sierra Leone,0.06153846153846154,0.0,0.06153846153846154,0.0,0.18286367098248285,0.11274526895142102
Northern Africa,0.007692307692307693,0.0,0.007692307692307693,0.0,0.11839250493096647,0.00835958272517376
Mauritania,0.007692307692307693,0.0,0.007692307692307693,0.0,0.11839250493096647,0.00835958272517376
Sudan,0.007692307692307693,0.0,0.007692307692307693,0.0,0.11839250493096647,0.00835958272517376
Yemen,0.015384615384615385,0.0,0.015384615384615385,0.0,0.1606020066889632,0.04532649416817037
Djibouti,0.007692307692307693,0.0,0.007692307692307693,0.0,0.11839250493096647,0.00835958272517376
Algeria,0.007692307692307693,0.0,0.007692307692307693,0.0,0.11839250493096647,0.00835958272517376
Tunisia,0.007692307692307693,0.0,0.007692307692307693,0.0,0.11839250493096647,0.00835958272517376
